DATE,THREAT ACTORS,AFFAECTED GROUOS,SECURITY INCIDENT TYPE,SECURITY INCIDENT SUB-TYPE,STATE,LAC,LOCATION,NUMBER OF PEOPLE KIDNAPPED,NUMBER OF PEOPLE KILLED,NUMBER OF PEOPLE INJURED,BREAKDOWN OF INCIDENT,MONTH,YEAR
1/23/2021,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Abaji,Other,8,0,0,"Gunmen attack orphanage home, abduct 10 in Abuja",Jan,2021
2/2/2021,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Bwari,Residence,3,0,0,"Gunmen kidnap father of Council chair, 2 siblings in Abuja",Feb,2021
2/26/2021,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Bwari,Residence,2,0,0,"Anxiety as gunmen invade Abuja community, abducts two",Feb,2021
3/14/2021,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Abaji,Community,4,0,0,Two killed as police foil kidnap attempt in Abuja community,Mar,2021
3/24/2021,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Kuje,Residence,4,0,0,"Gunmen abduct 4 persons in Abuja, demand N200m ransom",Mar,2021
3/26/2021,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Abaji,Residence,1,0,0,Gunmen kidnap house wife in Abuja,Mar,2021
4/1/2021,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Kuje,Road,1,0,0,"Gunmen strike again in troubled Abuja community, kidnap resident",Apr,2021
4/13/2021,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Gwagwalada,Community,4,0,0,"Kidnappers kill police officer, abduct 4 in Abuja",Apr,2021
4/19/2021,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Kwali,Community,1,0,0,"Gunmen invade herders’ camap, shot 1, kidnap other in Abuja",Apr,2021
4/25/2021,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Kuje,Road,1,0,0,Gunmen invade Abuja community kidnap one,Apr,2021
5/21/2021,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Bwari,Residence,2,0,0,Gunmen kidnap 2 persons from their Kubwa residence,May,2021
5/23/2021,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Bwari,Residence,2,0,0,"Gunmen abduct father, son in Abuja",May,2021
6/8/2021,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Kuje,Residence,1,0,0,Female teacher abducted in Abuja,Jun,2021
6/23/2021,Criminals,Civilians,Abduction,Kidnapping,Federal Capital Territory,Gwagwalada,Other,9,0,0,"Gunmen abduct ex-Kogi lawmaker, eight others in Abuja",Jun,2021
